Number,Site,Type,Method,pH,SOM,Clay,Silt,Sand,Fe,T_Cd,GP,IP,BA_GP,BA_IP,log_T_Cd,log_GP,log_IP,Predicted_BA_GP,Observed_Bioaccessible_Cd_GP,Predicted_Bioaccessible_Cd_GP,Predicted_Risk_Group
18.0,土壤中镉的生物可给性及其对人体的健康风险评估,Agricultural soils,PBET,5.61,57.1,17.2,55.12542417870477,30.60035605513319,91.84138191263315,14.29,1.437574,0.958859,10.06,6.709999999999999,2.727199019940971,0.8910032824033998,0.6723621608743403,45.38785877955229,1.437574,6.485925019598021,Medium
18.0,土壤中镉的生物可给性及其对人体的健康风险评估,Agricultural soils,PBET,4.77,20.8,7.1,57.76053382832015,32.37162109086178,38.5336187196973,1.08,0.262332,0.166104,24.29,15.380000000000004,0.7323678937132266,0.2329608040059414,0.1536682777758108,33.89971543329432,0.262332,0.3661169266795787,Low
18.0,土壤中镉的生物可给性及其对人体的健康风险评估,Agricultural soils,PBET,6.53,34.8,22.8,46.70403589208055,35.1544756145157,37.56975391584533,2.68,1.860724,0.860548,69.43,32.11,1.3029127521808397,1.05107473964865,0.6208710679879973,40.25855460297512,1.8607240000000003,1.0789292633597332,Medium
18.0,土壤中镉的生物可给性及其对人体的健康风险评估,Agricultural soils,PBET,6.87,13.7,17.2,54.54646563046126,30.79285651491028,37.15096934351682,0.38,0.14573,0.103664,38.35,27.28,0.3220834991691133,0.1360419884397735,0.0986355537056178,25.813885619651252,0.14573,0.09809276535467476,Low
18.0,土壤中镉的生物可给性及其对人体的健康风险评估,Agricultural soils,PBET,5.09,40.0,14.5,56.84717635253452,30.85008996711981,37.31660634212065,4.38,1.395906,0.978492,31.870000000000005,22.34,1.682688374173693,0.8737614474301835,0.6823349383678938,50.97244886478428,1.3959060000000003,2.2325932602775516,Medium
18.0,土壤中镉的生物可给性及其对人体的健康风险评估,Agricultural soils,PBET,6.15,22.7,13.2,57.29942663863891,30.78399233774303,50.37756886737359,7.78,2.12005,1.337382,27.25,17.19,2.172476407647025,1.1378490273340074,0.8490314996230597,43.28638165327553,2.12005,3.367680492624836,Medium
18.0,土壤中镉的生物可给性及其对人体的健康风险评估,Agricultural soils,PBET,6.86,30.0,15.4,56.04935026781105,30.99897205159924,36.73557358057455,2.16,0.1134,0.075168,5.25,3.4800000000000004,1.1505720275988207,0.1074183967672703,0.0724769284390918,36.536364553334316,0.1134,0.7891854743520212,Low
18.0,土壤中镉的生物可给性及其对人体的健康风险评估,Agricultural soils,PBET,5.38,26.6,25.8,48.52950527286593,23.83720527553542,38.48179926024407,2.55,0.213435,0.1377,8.370000000000001,5.4,1.2669476034873244,0.1934551806790435,0.1290086805635338,24.545204510694308,0.213435,0.6259027150227048,Low
18.0,土壤中镉的生物可给性及其对人体的健康风险评估,Agricultural soils,PBET,4.12,37.5,40.7,44.43420614154288,18.62795320859142,51.76145816946396,2.05,0.130585,0.065395,6.370000000000001,3.19,1.1151415906193205,0.1227351978793385,0.0633456224167249,31.035154129875206,0.130585,0.6362206596624417,Low
18.0,土壤中镉的生物可给性及其对人体的健康风险评估,Agricultural soils,PBET,4.79,37.0,38.8,46.57199112783507,18.52131324531639,62.76139028416982,121.0,9.2444,1.8997,7.64,1.5699999999999998,4.804021044733257,2.326731214822124,1.0646072833654243,31.942280770403222,9.244399999999999,38.6501597321879,High
18.0,土壤中镉的生物可给性及其对人体的健康风险评估,Agricultural soils,PBET,5.0,25.7,25.7,48.62790181146622,22.5248589671362,38.84204161964846,0.49,0.0835939999999999,0.0528219999999999,17.06,10.78,0.3987761199573678,0.0802832941149128,0.0514741780271185,25.659362264722382,0.08359399999999999,0.12573087509713968,Low
18.0,土壤中镉的生物可给性及其对人体的健康风险评估,Agricultural soils,PBET,5.31,31.6,32.2,46.97861993996371,19.94438231344848,39.01346142371217,2.55,0.24072,0.1496849999999999,9.44,5.869999999999999,1.2669476034873244,0.2156918562690603,0.1394879918106508,29.7869876916299,0.24071999999999996,0.7595681861365624,Low
